id,depart,arrival,duration,routeLength,waitingTime
mainFlow.121,161.4,207.8,46.4,1494.9,0.0
rampFlow.44,158.4,208.2,49.8,1146.27,0.0
rampFlow.45,162.0,209.4,47.4,1146.27,0.0
mainFlow.120,160.0,210.2,50.2,1494.9,0.0
mainFlow.118,157.4,211.0,53.6,1494.9,0.0
mainFlow.124,165.4,212.0,46.6,1494.9,0.0
mainFlow.123,164.0,212.4,48.4,1494.9,0.0
rampFlow.46,165.6,213.8,48.2,1146.27,0.0
mainFlow.126,168.0,214.8,46.8,1494.9,0.0
mainFlow.122,162.8,215.0,52.2,1494.9,0.0
rampFlow.47,169.2,216.0,46.8,1146.27,0.0
mainFlow.125,166.8,217.6,50.8,1494.9,0.0
mainFlow.129,172.0,218.6,46.6,1494.9,0.0
mainFlow.127,169.4,219.4,50.0,1494.9,0.0
mainFlow.131,174.8,219.8,45.0,1494.9,0.0
rampFlow.48,172.8,220.4,47.6,1146.27,0.0
mainFlow.133,177.4,221.0,43.6,1494.9,0.0
rampFlow.49,176.4,221.8,45.4,1146.27,0.0
mainFlow.132,176.0,222.6,46.6,1494.9,0.0
mainFlow.128,170.8,223.0,52.2,1494.9,0.0
rampFlow.50,180.0,223.8,43.8,1146.27,0.0
mainFlow.130,173.4,224.0,50.6,1494.9,0.0
mainFlow.134,178.8,226.8,48.0,1494.9,0.0
mainFlow.135,180.0,229.2,49.2,1494.9,0.0
mainFlow.137,182.8,229.2,46.4,1494.9,0.0
rampFlow.51,183.6,230.4,46.8,1146.27,0.0
mainFlow.136,181.4,232.6,51.2,1494.9,0.0
rampFlow.52,187.2,233.8,46.6,1146.27,0.0
mainFlow.139,185.4,234.0,48.6,1494.9,0.0
mainFlow.138,184.0,235.2,51.2,1494.9,0.0
mainFlow.141,188.0,235.2,47.2,1494.9,0.0
mainFlow.143,190.8,236.4,45.6,1494.9,0.0
mainFlow.144,192.0,237.6,45.6,1494.9,0.0
mainFlow.140,186.8,238.8,52.0,1494.9,0.0
rampFlow.53,190.8,239.2,48.4,1146.27,0.0
mainFlow.142,189.4,243.0,53.6,1494.9,0.0
rampFlow.54,194.4,243.4,49.0,1146.27,0.0
mainFlow.147,196.0,244.4,48.4,1494.9,0.0
rampFlow.55,198.0,245.4,47.4,1146.27,0.0
mainFlow.149,198.8,245.6,46.8,1494.9,0.0
mainFlow.148,197.4,246.8,49.4,1494.9,0.0
mainFlow.151,201.4,248.2,46.8,1494.9,0.0
mainFlow.145,193.4,248.6,55.2,1494.9,0.0
mainFlow.153,204.0,249.4,45.4,1494.9,0.0
rampFlow.56,201.6,250.0,48.4,1146.27,0.0
mainFlow.155,206.8,250.6,43.8,1494.9,0.0
mainFlow.146,194.8,251.2,56.4,1494.9,0.0
mainFlow.154,205.4,252.0,46.6,1494.9,0.0
rampFlow.57,205.2,252.4,47.2,1146.27,0.0
mainFlow.150,200.0,253.6,53.6,1494.9,0.0
mainFlow.152,202.8,253.8,51.0,1494.9,0.0
rampFlow.58,208.8,254.8,46.0,1146.27,0.0
mainFlow.157,209.4,256.0,46.6,1494.9,0.0
mainFlow.159,212.0,257.2,45.2,1494.9,0.0
mainFlow.161,214.8,258.4,43.6,1494.9,0.0
rampFlow.59,212.4,259.4,47.0,1146.27,0.0
mainFlow.160,213.4,259.6,46.2,1494.9,0.0
mainFlow.163,217.4,261.8,44.4,1494.9,0.0
mainFlow.165,220.0,263.0,43.0,1494.9,0.0
mainFlow.156,208.0,263.2,55.2,1494.9,0.0
mainFlow.166,221.4,264.2,42.8,1494.9,0.0
rampFlow.60,216.0,264.6,48.6,1146.27,0.0
rampFlow.61,219.6,265.2,45.6,1146.27,0.0
mainFlow.158,210.8,265.6,54.8,1494.9,0.0
mainFlow.167,222.8,268.2,45.4,1494.9,0.0
mainFlow.168,224.0,269.4,45.4,1494.9,0.0
mainFlow.162,216.0,270.6,54.6,1494.9,0.0
rampFlow.62,223.2,271.8,48.6,1146.27,0.0
mainFlow.169,225.4,272.0,46.6,1494.9,0.0
mainFlow.164,218.8,273.0,54.2,1494.9,0.0
mainFlow.170,226.8,273.2,46.4,1494.9,0.0
rampFlow.63,226.8,274.4,47.6,1146.27,0.0
mainFlow.171,228.0,275.0,47.0,1494.9,0.0
mainFlow.173,230.8,276.4,45.6,1494.9,0.0
mainFlow.174,232.0,277.4,45.4,1494.9,0.0
rampFlow.64,230.4,279.0,48.6,1146.27,0.0
rampFlow.65,234.0,280.2,46.2,1146.27,0.0
mainFlow.175,233.4,280.8,47.4,1494.9,0.0
mainFlow.172,229.4,281.8,52.4,1494.9,0.0
mainFlow.177,236.0,282.2,46.2,1494.9,0.0
rampFlow.66,237.6,283.0,45.4,1146.27,0.0
mainFlow.178,237.4,283.4,46.0,1494.9,0.0
mainFlow.176,234.8,284.4,49.6,1494.9,0.0
mainFlow.179,238.8,285.2,46.4,1494.9,0.0
rampFlow.67,241.2,286.4,45.2,1146.27,0.0
mainFlow.181,241.4,286.4,45.0,1494.9,0.0
mainFlow.180,240.0,287.6,47.6,1494.9,0.0
rampFlow.68,244.8,289.2,44.4,1146.27,0.0
mainFlow.182,242.8,291.2,48.4,1494.9,0.0
mainFlow.184,245.4,292.8,47.4,1494.9,0.0
rampFlow.69,248.4,294.0,45.6,1146.27,0.0
mainFlow.187,249.4,294.0,44.6,1494.9,0.0
mainFlow.183,244.0,297.4,53.4,1494.9,0.0
mainFlow.185,246.8,298.8,52.0,1494.9,0.0
mainFlow.189,252.0,306.0,54.0,1494.9,0.0
rampFlow.70,252.0,306.6,54.6,1146.27,0.0
mainFlow.191,254.8,307.2,52.4,1494.9,0.0
rampFlow.71,255.6,308.0,52.4,1146.27,0.0
mainFlow.193,257.4,308.4,51.0,1494.9,0.0
mainFlow.195,260.0,309.6,49.6,1494.9,0.0
mainFlow.196,261.4,310.8,49.4,1494.9,0.0
mainFlow.197,262.8,312.0,49.2,1494.9,0.0
mainFlow.186,248.0,312.4,64.4,1494.9,0.0
mainFlow.199,265.4,313.2,47.8,1494.9,0.0
rampFlow.72,259.2,313.6,54.4,1146.27,0.0
mainFlow.200,266.6,314.4,47.8,1494.9,0.0
mainFlow.188,250.8,314.8,64.0,1494.9,0.0
mainFlow.198,264.0,315.6,51.6,1494.9,0.0
mainFlow.190,253.4,316.0,62.6,1494.9,0.0
mainFlow.192,256.0,317.2,61.2,1494.9,0.0
mainFlow.203,270.6,317.4,46.8,1494.9,0.0
rampFlow.73,262.8,318.4,55.6,1146.27,0.0
mainFlow.205,273.4,318.6,45.2,1494.9,0.0
mainFlow.194,258.8,319.6,60.8,1494.9,0.0
mainFlow.206,274.6,319.8,45.2,1494.9,0.0
rampFlow.74,266.4,320.8,54.4,1146.27,0.0
mainFlow.202,269.4,321.0,51.6,1494.9,0.0
rampFlow.75,270.0,322.0,52.0,1146.27,0.0
rampFlow.77,277.2,322.2,45.0,1146.27,0.0
rampFlow.76,273.6,323.2,49.6,1146.27,0.0
mainFlow.204,272.0,323.6,51.6,1494.9,0.0
mainFlow.201,268.0,324.6,56.6,1494.9,0.0
rampFlow.78,280.8,324.8,44.0,1146.27,0.0
mainFlow.209,278.6,329.6,51.0,1494.9,0.0
mainFlow.211,281.4,330.6,49.2,1494.9,0.0
rampFlow.79,284.4,330.8,46.4,1146.27,0.0
mainFlow.213,284.0,331.8,47.8,1494.9,0.0
mainFlow.214,285.4,333.0,47.6,1494.9,0.0
mainFlow.215,286.6,334.2,47.6,1494.9,0.0
mainFlow.216,288.0,335.6,47.6,1494.9,0.0
mainFlow.207,276.0,336.8,60.8,1494.9,0.0
mainFlow.217,289.4,336.8,47.4,1494.9,0.0
mainFlow.208,277.4,338.0,60.6,1494.9,0.0
mainFlow.218,290.6,338.0,47.4,1494.9,0.0
rampFlow.80,288.0,339.2,51.2,1146.27,0.0
mainFlow.219,292.0,340.2,48.2,1494.9,0.0
mainFlow.210,280.0,340.6,60.6,1494.9,0.0
mainFlow.221,294.6,341.4,46.8,1494.9,0.0
mainFlow.212,282.6,341.8,59.2,1494.9,0.0
mainFlow.223,297.4,342.6,45.2,1494.9,0.0
rampFlow.81,291.6,343.0,51.4,1146.27,0.0
mainFlow.225,300.0,343.8,43.8,1494.9,0.0
rampFlow.82,295.2,344.2,49.0,1146.27,0.0
mainFlow.227,302.6,345.0,42.4,1494.9,0.0
rampFlow.83,298.8,345.4,46.6,1146.27,0.0
mainFlow.229,305.4,346.4,41.0,1494.9,0.0
mainFlow.220,293.4,346.6,53.2,1494.9,0.0
mainFlow.230,306.6,347.6,41.0,1494.9,0.0
mainFlow.222,296.0,347.8,51.8,1494.9,0.0
rampFlow.85,306.0,348.8,42.8,1146.27,0.0
rampFlow.84,302.4,349.0,46.6,1146.27,0.0
mainFlow.224,298.6,349.8,51.2,1494.9,0.0
mainFlow.226,301.4,353.4,52.0,1494.9,0.0
rampFlow.86,309.6,354.6,45.0,1146.27,0.0
mainFlow.231,308.0,354.8,46.8,1494.9,0.0
mainFlow.228,304.0,356.0,52.0,1494.9,0.0
mainFlow.233,310.6,356.0,45.4,1494.9,0.0
mainFlow.232,309.4,357.2,47.8,1494.9,0.0
rampFlow.87,313.2,362.2,49.0,1146.27,0.0
mainFlow.234,312.0,363.8,51.8,1494.9,0.0
rampFlow.88,316.8,365.0,48.2,1146.27,0.0
mainFlow.237,316.0,366.2,50.2,1494.9,0.0
mainFlow.239,318.6,367.4,48.8,1494.9,0.0
mainFlow.235,313.4,368.2,54.8,1494.9,0.0
mainFlow.241,321.4,368.6,47.2,1494.9,0.0
rampFlow.89,320.4,369.4,49.0,1146.27,0.0
mainFlow.242,322.6,369.8,47.2,1494.9,0.0
mainFlow.236,314.6,370.6,56.0,1494.9,0.0
mainFlow.238,317.4,371.2,53.8,1494.9,0.0
rampFlow.90,324.0,372.0,48.0,1146.27,0.0
mainFlow.243,324.0,372.6,48.6,1494.9,0.0
mainFlow.240,320.0,373.2,53.2,1494.9,0.0
mainFlow.245,326.6,373.8,47.2,1494.9,0.0
rampFlow.91,327.6,374.4,46.8,1146.27,0.0
mainFlow.247,329.4,375.0,45.6,1494.9,0.0
mainFlow.248,330.6,376.2,45.6,1494.9,0.0
mainFlow.244,325.4,376.6,51.2,1494.9,0.0
mainFlow.249,332.0,377.6,45.6,1494.9,0.0
mainFlow.246,328.0,378.8,50.8,1494.9,0.0
rampFlow.92,331.2,380.2,49.0,1146.27,0.0
mainFlow.251,334.6,380.6,46.0,1494.9,0.0
rampFlow.93,334.8,381.6,46.8,1146.27,0.0
mainFlow.252,336.0,381.8,45.8,1494.9,0.0
rampFlow.94,338.4,383.0,44.6,1146.27,0.0
mainFlow.250,333.4,384.8,51.4,1494.9,0.0
rampFlow.95,342.0,387.4,45.4,1146.27,0.0
mainFlow.255,340.0,388.2,48.2,1494.9,0.0
mainFlow.257,342.6,389.4,46.8,1494.9,0.0
mainFlow.259,345.4,390.6,45.2,1494.9,0.0
mainFlow.261,348.0,391.8,43.8,1494.9,0.0
mainFlow.253,337.4,392.4,55.0,1494.9,0.0
mainFlow.262,349.4,393.0,43.6,1494.9,0.0
mainFlow.254,338.6,393.6,55.0,1494.9,0.0
rampFlow.96,345.6,394.0,48.4,1146.27,0.0
mainFlow.256,341.4,397.4,56.0,1494.9,0.0
mainFlow.263,350.6,398.2,47.6,1494.9,0.0
rampFlow.97,349.2,398.8,49.6,1146.27,0.0
mainFlow.265,353.4,399.4,46.0,1494.9,0.0
mainFlow.258,344.0,400.0,56.0,1494.9,0.0
mainFlow.267,356.0,400.6,44.6,1494.9,0.0
mainFlow.260,346.6,401.2,54.6,1494.9,0.0
mainFlow.268,357.4,401.8,44.4,1494.9,0.0
rampFlow.98,352.8,402.4,49.6,1146.27,0.0
mainFlow.269,358.6,403.2,44.6,1494.9,0.0
rampFlow.99,356.4,403.8,47.4,1146.27,0.0
mainFlow.270,360.0,404.4,44.4,1494.9,0.0
mainFlow.264,352.0,405.0,53.0,1494.9,0.0
mainFlow.271,361.4,406.0,44.6,1494.9,0.0
mainFlow.266,354.6,406.2,51.6,1494.9,0.0
rampFlow.100,360.0,407.2,47.2,1146.27,0.0
rampFlow.101,363.6,410.4,46.8,1146.27,0.0
mainFlow.272,362.6,412.6,50.0,1494.9,0.0
mainFlow.275,366.6,414.0,47.4,1494.9,0.0
rampFlow.102,367.2,414.0,46.8,1146.27,0.0
mainFlow.274,365.4,415.0,49.6,1494.9,0.0
mainFlow.273,364.0,419.6,55.6,1494.9,0.0
rampFlow.103,370.8,421.0,50.2,1146.27,0.0
mainFlow.277,369.4,422.4,53.0,1494.9,0.0
mainFlow.279,372.0,423.6,51.6,1494.9,0.0
rampFlow.104,374.4,423.6,49.2,1146.27,0.0
mainFlow.281,374.6,424.8,50.2,1494.9,0.0
mainFlow.276,368.0,425.0,57.0,1494.9,0.0
mainFlow.283,377.4,426.0,48.6,1494.9,0.0
mainFlow.278,370.6,426.2,55.6,1494.9,0.0
mainFlow.285,380.0,427.2,47.2,1494.9,0.0
rampFlow.105,378.0,427.4,49.4,1146.27,0.0
mainFlow.287,382.6,428.2,45.6,1494.9,0.0
mainFlow.280,373.4,428.6,55.2,1494.9,0.0
mainFlow.289,385.4,429.4,44.0,1494.9,0.0
rampFlow.106,381.6,429.8,48.2,1146.27,0.0
mainFlow.291,388.0,431.0,43.0,1494.9,0.0
mainFlow.282,376.0,431.2,55.2,1494.9,0.0
mainFlow.286,381.4,432.4,51.0,1494.9,0.0
rampFlow.107,385.2,432.4,47.2,1146.27,0.0
mainFlow.284,378.6,433.4,54.8,1494.9,0.0
rampFlow.108,388.8,434.6,45.8,1146.27,0.0
mainFlow.293,390.6,435.0,44.4,1494.9,0.0
mainFlow.288,384.0,436.0,52.0,1494.9,0.0
mainFlow.294,392.0,436.2,44.2,1494.9,0.0
